Name,Address,Postcode,Email,Phone
Acme Corporation,123 Main St,12345,billing@acme.com,555-1234
TechStart Inc,456 Oak Ave,23456,accounts@techstart.com,555-5678
Global Solutions,789 Pine Rd,34567,payments@globalsol.com,555-9012
Local Business,321 Elm St,45678,info@localbiz.com,555-3456
Enterprise Co,654 Maple Dr,56789,finance@enterprise.com,555-7890
ABC Industries,111 First Ave,11111,payables@abcindustries.com,555-1111
XYZ Services,222 Second St,22222,billing@xyzservices.com,555-2222
Best Products,333 Third Rd,33333,accounts@bestproducts.com,555-3333
Quality Corp,444 Fourth Ln,44444,payments@qualitycorp.com,555-4444
Premium Partners,555 Fifth Blvd,55555,finance@premiumptnrs.com,555-5555
